                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.662,                 3.7603,                 2.8435,                0.00383,                0.22434,                0.00324,                0.00099,                 3.3728,                 4.1563,                 4.6514,               0.070207,              0.0033103,              0.0033103
                      2,                 2.4628,                 3.5019,                 2.7318,                0.00819,                0.45654,                0.00988,                0.00288,                  2.654,                 3.8773,                 3.1789,               0.040141,              0.0065779,              0.0065779
                      3,                 2.3674,                 3.4697,                 2.6761,                0.00831,                0.47981,                0.01465,                0.00399,                 2.5108,                 3.8119,                 3.0239,               0.010009,              0.0097795,              0.0097795
                      4,                 2.3055,                 3.3928,                 2.5781,                 0.0086,                0.47617,                0.01071,                0.00331,                 2.7166,                 3.7522,                 3.2564,               0.009703,               0.009703,               0.009703
                      5,                 2.2041,                 3.3584,                 2.5422,                0.00966,                0.56325,                0.01796,                0.00539,                 2.4838,                  3.656,                 3.1437,               0.009604,               0.009604,               0.009604
                      6,                 2.1815,                    3.3,                 2.4938,                0.01157,                0.61201,                0.02916,                 0.0101,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                 2.1377,                 3.2137,                 2.4337,                0.01098,                0.61608,                0.03333,                0.01118,                 2.2445,                  3.428,                 2.7218,               0.009406,               0.009406,               0.009406
                      8,                 2.1156,                 3.2125,                 2.4283,                0.01099,                0.62625,                0.02869,                0.00933,                 2.3053,                 3.4658,                 2.7699,               0.009307,               0.009307,               0.009307
                      9,                 2.1093,                 3.1854,                 2.4083,                0.01304,                0.57677,                  0.025,                0.00784,                 2.4606,                 3.9177,                 2.8378,               0.009208,               0.009208,               0.009208
                     10,                 2.0483,                 3.1136,                 2.3539,                0.01109,                0.56038,                0.02256,                0.00706,                  2.529,                 3.5331,                 3.0921,               0.009109,               0.009109,               0.009109
